Sample_Id	Sample_Desc	Processed_Sample	Processed_Sample (With Scientific Name)	Matched_Components	Match_Status(Macro Level)
287_T8	garlic powder	garlic powder	garlic {allium sativum} powder	['garlic powder:FOODON_03301844']	Full Term Match
288_T9	tomato soup	tomato soup	tomato {solanum lycopersicum} soup	['tomato soup:FOODON_03304909']	Full Term Match
288_T11	onion soup mix	onion soup mixture	onion {allium cepa} soup mixture	['onion soup mix:FOODON_03309457']	Full Term Match
288_T12	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
288_T13	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
288_T14	roast	roast	roast	[]	No Match
288_T15	cream of mushroom soup	cream of mushroom soup	cream of mushroom soup	['cream of mushroom soup:FOODON_03305128']	Full Term Match
289_T13	strawberries	strawberry	strawberry {fragaria x ananassa}	['fragaria x ananassa:NCBITAXON_3747']	Full Term Match
289_T16	whipped topping	whipped topping	whipped topping	['whipped topping:FOODON_03302772']	Full Term Match
289_T20	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
289_T23	vanilla pudding	vanilla pudding	vanilla pudding	['pudding:FOODON_03301660', 'vanilla:NCBITAXON_51238']	Component Match
289_T25	Hostess Twinkies	hostess twinky	hostess twinky	[]	No Match
290_T10	feta cheese	feta cheese	feta cheese	['feta cheese:FOODON_03307280']	Full Term Match
290_T13	pizza dough	pizza dough	pizza dough	['dough:FOODON_03311552', 'pizza:FOODON_00003928']	Component Match
290_T7	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
290_T15	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
290_T17	mozzarella cheese	mozzarella cheese	mozzarella cheese	['mozzarella cheese:FOODON_03303578']	Full Term Match
291_T16	whipped topping	whipped topping	whipped topping	['whipped topping:FOODON_03302772']	Full Term Match
291_T17	walnuts	walnut	walnut	['juglans:NCBITAXON_16718']	Full Term Match
291_T19	caramel ice cream topping	caramel ice cream topping	caramel ice cream topping	['caramel:FOODON_03317034', 'ice cream food product:FOODON_00001045']	Component Match
291_T20	chocolate ice cream topping	chocolate ice cream topping	chocolate ice cream topping	['chocolate ice cream:FOODON_03305848']	Component Match
291_T21	English toffee bits	english toffee bits	english toffee bits	['toffee:FOODON_03303765']	Component Match
291_T23	candy bar	candy bar	candy bar	['candy bar:FOODON_03306423']	Full Term Match
291_T24	Kahlua	kahlua	kahlua	[]	No Match
291_T25	kahlua-flavored syrup	kahlua flavored syrup	kahlua flavored syrup	['syrup (flavored):FOODON_03317642']	Component Match
291_T26	ice cream sandwiches	ice cream sandwich	ice cream sandwich	['ice cream sandwich:FOODON_03305472']	Full Term Match
292_T13	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
292_T14	lemon	lemon	lemon	['citrus limon:NCBITAXON_2708']	Full Term Match
292_T18	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
292_T19	cumin	cumin	cumin	['cuminum cyminum:NCBITAXON_52462']	Full Term Match
292_T21	kosher salt	kosher salt	kosher salt	['salt:CHEBI_24866']	Component Match
292_T23	carrots	carrot	carrot {daucus carota}	['daucus carota:NCBITAXON_4039']	Full Term Match
292_T24	chickpeas	chickpea	chickpea {cicer arietinum}	['cicer arietinum:NCBITAXON_3827']	Full Term Match
293_T8	mayonnaise	mayonnaise	mayonnaise	['mayonnaise:FOODON_03301440']	Full Term Match
293_T9	halibut	halibut	halibut	['halibut:FOODON_03411532']	Full Term Match
293_T11	jalapeno	jalapeno	jalapeno	['jalapeno pepper food product:FOODON_00001976']	Full Term Match
293_T12	monterey jack cheese	monterey jack cheese	monterey jack cheese	['monterey jack cheese (pasteurized):FOODON_03302918']	Full Term Match
293_T13	jalapeno juice	jalapeno juice	jalapeno juice	['jalapeno pepper food product:FOODON_00001976', 'juice beverage:FOODON_03315552']	Component Match
294_T8	chive	chive	chive {allium schoenoprasum}	['allium schoenoprasum:NCBITAXON_74900']	Full Term Match
294_T11	sour cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
294_T13	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
294_T15	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
294_T16	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
294_T18	oil	oil	oil	['oil:FOODON_03310387']	Full Term Match
294_T21	russet potato	russet potato	russet potato {solanum tuberosum}	['idaho potato (whole):FOODON_00003715']	Full Term Match
295_T8	coconut milk	coconut milk	coconut milk	['coconut milk:FOODON_03303084']	Full Term Match
295_T9	almond milk	almond milk	almond {prunus dulcis} milk	['almond milk:FOODON_00003157']	Full Term Match
295_T10	almond extract	almond extract	almond {prunus dulcis} extract	['prunus dulcis:NCBITAXON_3755']	Component Match
295_T12	Brewed Sweetened Oolong	brewed sweetened oolong	brewed sweetened oolong	[]	No Match
295_T13	Green Tea	green tea	green tea	['34450 - non-fermented tea leaves (green or white tea) (efsa foodex2):FOODON_03543445']	Full Term Match
295_T14	ice	ice	ice	['ice:ENVO_01001125']	Full Term Match
295_T15	coconut flake	coconut flake	coconut flake	['cocos nucifera:NCBITAXON_13894']	Component Match
295_T19	chocolate syrup	chocolate syrup	chocolate syrup	['chocolate syrup:FOODON_03301317']	Full Term Match
295_T21	almond	almond	almond {prunus dulcis}	['prunus dulcis:NCBITAXON_3755']	Full Term Match
296_T14	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
296_T15	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
296_T16	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
296_T17	baking powder	baking powder	baking powder	['baking powder:FOODON_03301940']	Full Term Match
296_T18	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
296_T20	chocolate chips	chocolate chips	chocolate chips	['38900 - fries (finger chips) (efsa foodex2):FOODON_03543890', 'chocolate:FOODON_03307240']	Component Match
296_T21	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
297_T10	lime juice	lime juice	lime juice	['lime juice:FOODON_03306160']	Full Term Match
297_T11	strawberries	strawberry	strawberry {fragaria x ananassa}	['fragaria x ananassa:NCBITAXON_3747']	Full Term Match
297_T13	vanilla ice cream	vanilla ice cream	vanilla ice cream	['vanilla ice cream:FOODON_03305800']	Full Term Match
297_T14	light rum	light rum	light rum	['rum:FOODON_03301614']	Component Match
298_T13	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
298_T15	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
298_T16	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
298_T17	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
298_T18	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
299_T9	maple syrup	maple syrup	maple syrup	['maple syrup:FOODON_03301848']	Full Term Match
299_T10	ham steak	ham steak	ham steak	['ham food product:FOODON_00002502']	Component Match
299_T12	ham steak	ham steak	ham steak	['ham food product:FOODON_00002502']	Component Match
299_T13	apple cider vinegar	apple cider vinegar	apple {malus domestica} cider vinegar	['cider vinegar:FOODON_03307916']	Component Match
299_T14	Dijon mustard	dijon mustard	dijon mustard	['mustard (dijon):FOODON_03306361']	Full Term Match
300_T4	avocado	avocado	avocado {persea americana}	['persea americana:NCBITAXON_3435']	Full Term Match
300_T5	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
301_T8	prime rib roast	prime rib roast	prime rib roast	['rib:UBERON_0002228']	Component Match
301_T10	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
301_T11	kosher salt	kosher salt	kosher salt	['salt:CHEBI_24866']	Component Match
301_T12	thyme	thyme	thyme {thymus vulgaris}	['thymus vulgaris:NCBITAXON_49992']	Full Term Match
301_T13	rosemary	rosemary	rosemary	['salvia rosmarinus:NCBITAXON_39367']	Full Term Match
302_T14	chia seeds	chia seed	chia seed	['chia seed (whole):FOODON_00002961']	Full Term Match
302_T15	banana	banana	banana {musa x paradisiaca}	['musa x paradisiaca:NCBITAXON_89151']	Full Term Match
302_T19	cocoa powder	cocoa powder	cocoa powder	['cocoa:FOODON_03301072']	Full Term Match
302_T20	avocado	avocado	avocado {persea americana}	['persea americana:NCBITAXON_3435']	Full Term Match
302_T11	coffee granules	coffee granule	coffee granule	['coffea arabica:NCBITAXON_13443']	Component Match
302_T22	chocolate	chocolate	chocolate	['chocolate:FOODON_03307240']	Full Term Match
302_T23	vanilla protein powder	vanilla protein powder	vanilla protein powder	['protein:CHEBI_36080', 'vanilla powder:FOODON_03316761']	Component Match
302_T24	vanilla almond milk	vanilla almond milk	vanilla almond {prunus dulcis} milk	['almond milk:FOODON_00003157', 'vanilla:NCBITAXON_51238']	Component Match
302_T25	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
303_T4	strawberries	strawberry	strawberry {fragaria x ananassa}	['fragaria x ananassa:NCBITAXON_3747']	Full Term Match
303_T6	angel food cake	angel food cake	angel food cake	['angel food cake:FOODON_03307734']	Full Term Match
303_T7	cool whip	cool whip	cool whip	[]	No Match
304_T10	water	water	water	['water:CHEBI_15377']	Full Term Match
304_T11	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
304_T12	apples	apple	apple {malus domestica}	['malus domestica:NCBITAXON_3750']	Full Term Match
304_T16	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
304_T17	nutmeg	nutmeg	nutmeg {myristica fragrans}	['myristica fragrans:NCBITAXON_51089']	Full Term Match
305_T11	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
305_T12	water	water	water	['water:CHEBI_15377']	Full Term Match
305_T14	soybeans	soybean	soybean {glycine max}	['glycine max:NCBITAXON_3847']	Full Term Match
305_T18	dates	date	date	['date (whole, raw):FOODON_03304506']	Full Term Match
305_T19	vanilla bean	vanilla bean	vanilla bean	['vanilla bean (whole, raw):FOODON_03302056']	Full Term Match
306_T8	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
306_T9	water	water	water	['water:CHEBI_15377']	Full Term Match
306_T10	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
306_T14	Shredded Cheddar Cheese	shredded cheddar cheese	shredded cheddar cheese	['cheddar cheese:FOODON_03302458', 'cheese (shredded):FOODON_03307846']	Component Match
307_T9	champagne	champagne	champagne	['champagne:FOODON_03301564']	Full Term Match
307_T11	strawberries	strawberry	strawberry {fragaria x ananassa}	['fragaria x ananassa:NCBITAXON_3747']	Full Term Match
307_T13	chocolate	chocolate	chocolate	['chocolate:FOODON_03307240']	Full Term Match
307_T14	canola oil	canola oil	canola oil	['canola oil:FOODON_03302578']	Full Term Match
307_T17	sprinkle	sprinkle	sprinkle	[]	No Match
307_T20	luster dust	luster dust	luster dust	['dust:ENVO_00002008']	Component Match
308_T11	apricot preserves	apricot preserf	apricot {prunus armeniaca} preserf	['apricot preserves:FOODON_03306398']	Full Term Match
308_T12	applesauce	applesauce	applesauce	['applesauce:FOODON_03301126']	Full Term Match
308_T13	honey	honey	honey	['honey:UBERON_0036016']	Full Term Match
308_T14	cider vinegar	cider vinegar	cider vinegar	['cider vinegar:FOODON_03307916']	Full Term Match
308_T16	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
309_T7	almonds	almond	almond {prunus dulcis}	['prunus dulcis:NCBITAXON_3755']	Full Term Match
309_T10	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
309_T11	egg	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
309_T12	food coloring	food coloring	food coloring	['food:CHEBI_33290']	Component Match
309_T14	confectioners sugar	confectioner sugar	confectioner sugar	['sugar:FOODON_03420108']	Component Match
310_T14	chicken	chicken	chicken {gallus gallus}	['chicken:FOODON_03411457']	Full Term Match
310_T16	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
310_T17	rub Spice	rub spice	rub spice	['spice rub:FOODON_00002500']	Full Term Match
310_T18	water	water	water	['water:CHEBI_15377']	Full Term Match
311_T13	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
311_T14	kosher salt	kosher salt	kosher salt	['salt:CHEBI_24866']	Component Match
311_T17	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
311_T19	basil	basil	basil {ocimum basilicum}	['ocimum basilicum:NCBITAXON_39350']	Full Term Match
311_T22	basil	basil	basil {ocimum basilicum}	['ocimum basilicum:NCBITAXON_39350']	Full Term Match
311_T23	sea salt	sea salt	sea salt	['salt:CHEBI_24866', 'sea:ENVO_00000016']	Component Match
311_T25	grape tomatoes	grape tomato	grape tomato {solanum lycopersicum}	['grape tomato (whole):FOODON_00003580']	Full Term Match
311_T26	cherry tomatoes	cherry tomato	cherry tomato {solanum lycopersicum}	['miniature tomato plant:FOODON_03411608']	Full Term Match
312_T10	jicama	jicama	jicama {pachyrhizus tuberosus}	['09820 - mexican yam beans (efsa foodex2):FOODON_03540982']	Full Term Match
312_T11	pineapple	pineapple	pineapple {ananas comosus}	['ananas comosus:NCBITAXON_4615']	Full Term Match
312_T12	cucumber	cucumber	cucumber	['cucumis sativus:NCBITAXON_3659']	Full Term Match
312_T13	chili lime seasoning	chili lime seasoning	chili lime seasoning	['chili seasoning:FOODON_03303355', 'lime (whole, raw):FOODON_03305086']	Component Match
312_T15	lime	lime	lime	['lime (whole, raw):FOODON_03305086']	Full Term Match
313_T6	vermouth	vermouth	vermouth	['vermouth:FOODON_03307808']	Full Term Match
313_T7	gin	gin	gin	['gin:FOODON_03309491']	Full Term Match
313_T9	vodka	vodka	vodka	['vodka:FOODON_03305518']	Full Term Match
313_T10	olives pimento-stuffed	olife pimento stuffed	olife pimento stuffed	['13700 - allspice fruit (efsa foodex2):FOODON_03541370']	Component Match
313_T13	lemon twist	lemon twist	lemon twist	['citrus limon:NCBITAXON_2708']	Component Match
314_T5	marshmallows	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
314_T7	chocolate	chocolate	chocolate	['chocolate:FOODON_03307240']	Full Term Match
314_T8	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
315_T5	whipped cream	whipped cream	whipped cream	['whipped cream:FOODON_03302897']	Full Term Match
315_T6	peppermint schnapps	peppermint schnapp	peppermint {mentha x piperita} schnapp	['peppermint:FOODON_03303920']	Component Match
315_T7	cocoa	cocoa	cocoa	['cocoa:FOODON_03301072']	Full Term Match
316_T12	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
316_T14	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
316_T15	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
316_T16	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
316_T17	maccha	maccha	maccha	[]	No Match
316_T18	baking powder	baking powder	baking powder	['baking powder:FOODON_03301940']	Full Term Match
317_T8	onions	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
317_T11	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
317_T13	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
317_T15	clams	clam	clam	['clam:FOODON_03411331']	Full Term Match
317_T18	cream of celery soup	cream of celery soup	cream of celery {apium graveolens dulce group} soup	['cream of celery soup:FOODON_03310560']	Full Term Match
317_T19	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
317_T20	sauce	sauce	sauce	['sauce:FOODON_03311146']	Full Term Match
318_T14	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
318_T15	balsamic vinegar	balsamic vinegar	balsamic vinegar	['vinegar:FOODON_03301705']	Component Match
318_T16	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
318_T17	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
318_T20	basil	basil	basil {ocimum basilicum}	['ocimum basilicum:NCBITAXON_39350']	Full Term Match
318_T22	grape tomatoes	grape tomato	grape tomato {solanum lycopersicum}	['grape tomato (whole):FOODON_00003580']	Full Term Match
319_T16	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
319_T18	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
319_T20	rosemary	rosemary	rosemary	['salvia rosmarinus:NCBITAXON_39367']	Full Term Match
319_T22	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
319_T24	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
319_T30	thyme	thyme	thyme {thymus vulgaris}	['thymus vulgaris:NCBITAXON_49992']	Full Term Match
319_T32	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
320_T12	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
320_T14	bananas	banana	banana {musa x paradisiaca}	['musa x paradisiaca:NCBITAXON_89151']	Full Term Match
320_T17	agave nectar	agave nectar	agave nectar	['agave food product:FOODON_00002423', 'nectar (food product):FOODON_03315553']	Component Match
320_T19	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
320_T21	sea salt	sea salt	sea salt	['salt:CHEBI_24866', 'sea:ENVO_00000016']	Component Match
320_T22	nut milk	nut milk	nut milk	['nut milk:FOODON_03420214']	Full Term Match
321_T13	Sour Cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
321_T14	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
321_T16	Cream Cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
321_T17	marshmallows	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
321_T19	comstock brand cherry pie filling	comstock brand cherry pie filling	comstock brand cherry pie filling	['cherry pie:FOODON_00001720', 'pie filling:FOODON_03306766']	Component Match
321_T20	keebler ready graham pie crusts	keebler ready graham pie crust	keebler ready graham pie crust	['pie crust:FOODON_03306773']	Component Match
322_T2	jelly	jelly	jelly	[]	No Match
322_T3	preserves	preserf	preserf	[]	No Match
322_T4	jam	jam	jam	['jam:FOODON_03309973']	Full Term Match
322_T5	creamy peanut butter	creamy peanut butter	creamy peanut {arachis hypogaea} butter	['peanut butter (creamy):FOODON_03306903']	Full Term Match
322_T6	bread	bread	bread	['bread and similar products (eurofir):FOODON_03400817']	Full Term Match
323_T8	canola oil	canola oil	canola oil	['canola oil:FOODON_03302578']	Full Term Match
323_T10	asparagus	asparagus	asparagus	['asparagus:NCBITAXON_4685']	Full Term Match
323_T11	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
323_T13	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
323_T15	strip steaks	strip steak	strip steak	['beef top loin steak:FOODON_00003303']	Full Term Match
323_T16	shell steaks	shell steak	shell steak	['shell:UBERON_0006612']	Component Match
324_T15	chicken	chicken	chicken {gallus gallus}	['chicken:FOODON_03411457']	Full Term Match
324_T16	taco seasoning mix	taco seasoning mixture	taco seasoning mixture	['mixture:CHEBI_60004', 'seasoning:FOODON_03301189', 'taco:FOODON_03307744']	Component Match
324_T18	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
324_T19	salsa	salsa	salsa	['salsa:FOODON_03310086']	Full Term Match
324_T9	sour cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
325_T13	hershey"s cocoa	hershey cocoa	hershey cocoa	['cocoa:FOODON_03301072']	Component Match
325_T14	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
325_T15	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
325_T16	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
325_T17	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
325_T19	sugar substitute	sugar substitute	sugar substitute	['sugar substitute:FOODON_03315170']	Full Term Match
326_T6	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
326_T8	baking potatoes	baking potato	baking potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Component Match
326_T11	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
326_T12	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
327_T11	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
327_T12	egg yolks	egg yolk	egg yolk	['egg yolk:UBERON_0007378']	Full Term Match
327_T14	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
327_T15	heavy cream	heavy cream	heavy cream	['heavy cream:FOODON_03310795']	Full Term Match
327_T16	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
327_T17	vanilla bean paste	vanilla bean paste	vanilla bean paste	['bean paste:FOODON_03315362', 'vanilla bean (whole, raw):FOODON_03302056']	Component Match
328_T12	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
328_T13	shallots	shallot	shallot	['allium cepa var. aggregatum:NCBITAXON_28911']	Full Term Match
328_T14	zucchini	zucchini	zucchini	['06850 - summer squashes (efsa foodex2):FOODON_03540685']	Full Term Match
328_T18	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
328_T23	parsley	parsley	parsley	['petroselinum crispum:NCBITAXON_4043']	Full Term Match
328_T25	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
329_T8	baking powder	baking powder	baking powder	['baking powder:FOODON_03301940']	Full Term Match
329_T9	self raising flour	self raising flour	self raising flour	['flour food product:FOODON_00001056']	Component Match
329_T12	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
329_T15	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
329_T16	caster sugar	caster sugar	caster sugar	['sugar:FOODON_03420108']	Component Match
329_T18	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
330_T8	Dijon mustard	dijon mustard	dijon mustard	['mustard (dijon):FOODON_03306361']	Full Term Match
330_T10	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
330_T11	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
330_T14	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
330_T18	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
330_T21	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
331_T9	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
331_T10	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
331_T12	bagels whole wheat	bagel whole wheat	bagel whole wheat {triticum aestivum}	['bagel:FOODON_03309554', 'whole wheat food product:FOODON_03307448']	Component Match
331_T14	bagels	bagel	bagel	['bagel:FOODON_03309554']	Full Term Match
331_T16	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
331_T19	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
332_T11	cocoa powder	cocoa powder	cocoa powder	['cocoa:FOODON_03301072']	Full Term Match
332_T12	heavy cream	heavy cream	heavy cream	['heavy cream:FOODON_03310795']	Full Term Match
332_T13	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
332_T14	liquid stevia	liquid stevia	liquid stevia	['44710 - steviol glucoside (efsa foodex2):FOODON_03544471', 'liquid:NCIT_C45298']	Component Match
332_T15	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
333_T6	chicken	chicken	chicken {gallus gallus}	['chicken:FOODON_03411457']	Full Term Match
333_T9	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
333_T11	cream of chicken soup	cream of chicken soup	cream of chicken {gallus gallus} soup	['cream of chicken soup:FOODON_03305127']	Full Term Match
333_T13	chicken broth	chicken broth	chicken {gallus gallus} broth	['chicken broth:FOODON_03303004']	Full Term Match
333_T15	biscuits	biscuit	biscuit	['scone:FOODON_00002465']	Full Term Match
334_T9	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
334_T11	potatoes	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
334_T13	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
334_T14	whipping cream	whipping cream	whipping cream	['mammalian light whipping cream (30%-36%):FOODON_03420154']	Full Term Match
334_T15	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
334_T17	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
334_T18	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
335_T10	mangoes	mango	mango {mangifera indica}	['mangifera indica:NCBITAXON_29780']	Full Term Match
335_T11	bananas	banana	banana {musa x paradisiaca}	['musa x paradisiaca:NCBITAXON_89151']	Full Term Match
335_T13	honey	honey	honey	['honey:UBERON_0036016']	Full Term Match
335_T14	blurberry	blurberry	blurberry	[]	No Match
335_T15	lime	lime	lime	['lime (whole, raw):FOODON_03305086']	Full Term Match
335_T18	kiwis	kiwi	kiwi	['kiwi:FOODON_03414363']	Full Term Match
335_T24	strawberry	strawberry	strawberry {fragaria x ananassa}	['fragaria x ananassa:NCBITAXON_3747']	Full Term Match
336_T11	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
336_T13	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
336_T14	margarine	margarine	margarine	['margarine:FOODON_03301672']	Full Term Match
336_T15	pineapple slices	pineapple slice	pineapple {ananas comosus} slice	['ananas comosus:NCBITAXON_4615']	Component Match
336_T16	maraschino cherries	maraschino cherry	maraschino cherry	['maraschino cherry:FOODON_03301256']	Full Term Match
336_T19	cake mix	cake mixture	cake mixture	['cake mix:FOODON_03317068']	Full Term Match
336_T21	vegetable oil	vegetable oil	vegetable oil	['vegetable oil:FOODON_03305263']	Full Term Match
336_T22	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
337_T10	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
337_T11	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
337_T12	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
337_T13	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
337_T14	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
337_T15	White Sauce	white sauce	white sauce	['white sauce:FOODON_03307686']	Full Term Match
337_T17	Velveeta cheese	velveeta cheese	velveeta cheese	['cheese food product:FOODON_00001013']	Component Match
337_T19	potatoes	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
338_T11	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
338_T12	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
338_T13	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
338_T15	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
338_T16	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
338_T17	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
339_T8	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
339_T9	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
339_T10	apples	apple	apple {malus domestica}	['malus domestica:NCBITAXON_3750']	Full Term Match
